ID,Title,Slug,Date,Type,File / URL,Suggested,Decision,Notes
4764,PPE Update,ppe-update-2,2020-04-01,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/PPE Update 1st April 2020 FINAL.pdf,Keep (recent),,
4757,NHS Covid-19 workforce guidance (England) –a guide for UNISON branches,nhs-covid-19-workforce-guidance-england-a-guide-for-unison-branches-2,2020-03-31,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Branch guide (England) Covid terms and conditions and workforce policies (1).pdf,Keep (recent),,
4699,attachment,attachment-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/attachment.pdf,Keep (recent),,
4701,kyr-understanding-grievances,kyr-understanding-grievances-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/kyr-understanding-grievances.pdf,Keep (recent),,
4703,stewardspocketguide,stewardspocketguide-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/stewardspocketguide.pdf,Keep (recent),,
4693,6 pack,6-pack-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/6 pack.pdf,Keep (recent),,
4695,TUC-MENTAL_HEALTH_WORKPLACE,tuc-mental_health_workplace-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/TUC-MENTAL_HEALTH_WORKPLACE.pdf,Keep (recent),,
4697,UNISON-Branch-Data-Protection-Handbook-updated-February-2018,unison-branch-data-protection-handbook-updated-february-2018-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/UNISON-Branch-Data-Protection-Handbook-updated-February-2018.pdf,Keep (recent),,
4673,Case Form - Aug 18,case-form-aug-18-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Case Form - Aug 18.pdf,Keep (form/reference),,
4675,Eduational Grant template,eduational-grant-template-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Eduational Grant template.pdf,Keep (form/reference),,
4677,Education expenses template,education-expenses-template-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Education expenses template.pdf,Keep (form/reference),,
4679,Expenses template 2020 continuation sheet,expenses-template-2020-continuation-sheet-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Expenses template 2020 continuation sheet.pdf,Keep (form/reference),,
4681,Expenses template 2020_,expenses-template-2020_-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Expenses template 2020_.pdf,Keep (form/reference),,
4683,LAS UNISON Station Bulletin Template1,las-unison-station-bulletin-template1-2,2020-03-25,vnd.openxmlformats-officedocument.wordprocessingml.template,https://lasunison.co.uk/wp-content/uploads/mdocs/LAS UNISON Station Bulletin Template1.dotx,Keep (form/reference),,
4685,Retirement expenses template,retirement-expenses-template-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Retirement expenses template.pdf,Keep (form/reference),,
4687,lasunisonpowerpointtemplate,lasunisonpowerpointtemplate-2,2020-03-25,vnd.openxmlformats-officedocument.presentationml.template,https://lasunison.co.uk/wp-content/uploads/mdocs/lasunisonpowerpointtemplate.potx,Keep (form/reference),,
4689,new unison join form 2018 v2,new-unison-join-form-2018-v2-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/new unison join form 2018 v2.pdf,Keep (form/reference),,
4691,rta form,rta-form-3,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/rta form.pdf,Keep (form/reference),,
4665,mind leaflet,mind-leaflet-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/mind leaflet.pdf,Keep (recent),,
4667,poster template,poster-template-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/poster template.pdf,Keep (form/reference),,
4669,recruitmentleaflet,recruitmentleaflet-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/recruitmentleaflet.pdf,Keep (recent),,
4671,website poster,website-poster-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/website poster.pdf,Keep (form/reference),,
4643,Join poster control,join-poster-control-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Join poster control.pdf,Keep (form/reference),,
4645,Join poster paramedics,join-poster-paramedics-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Join poster paramedics.pdf,Keep (form/reference),,
4647,Join poster,join-poster-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Join poster.pdf,Keep (form/reference),,
4649,Recruitment leaflet - EMD,recruitment-leaflet-emd-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Recruitment leaflet - EMD.pdf,Keep (recent),,
4651,Recruitment leaflet - NETS,recruitment-leaflet-nets-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Recruitment leaflet - NETS.pdf,Keep (recent),,
4653,Recruitment leaflet,recruitment-leaflet-3,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Recruitment leaflet.pdf,Keep (recent),,
4655,Unison London Map 2017 version,unison-london-map-2017-version-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Unison London Map 2017 version.pdf,Keep (recent),,
4657,book grant poster 2019,book-grant-poster-2019-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/book grant poster 2019.pdf,Keep (form/reference),,
4659,functional skills 2020,functional-skills-2020-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/functional skills 2020.pdf,Keep (recent),,
